Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,64.919998,65.459999,61.900002,62.770000,48.899361,86190200
2010-11-01,63.049999,68.000000,62.709999,67.610001,52.839962,70219900
2010-12-01,68.209999,73.160004,68.010002,72.209999,56.435051,69379200
2011-01-01,72.750000,73.699997,70.010002,71.839996,56.145874,51344400
2011-02-01,72.220001,75.480003,70.540001,74.790001,58.451443,41166300
2011-03-01,75.110001,75.389999,69.540001,73.320000,57.460041,61283600
2011-04-01,73.160004,81.500000,73.139999,80.889999,63.392525,51728400
2011-05-01,81.209999,83.949997,79.139999,82.480003,64.638626,48334900
2011-06-01,82.339996,82.510002,77.309998,81.239998,63.853207,51884700
2011-07-01,81.500000,83.449997,77.190002,78.250000,61.503105,36468100
2011-08-01,79.320000,79.349998,70.220001,78.540001,61.731060,83484600
2011-09-01,78.980003,86.339996,76.589996,82.129997,64.757706,58581700
2011-10-01,81.720001,86.139999,78.410004,83.250000,65.640785,61642600
2011-11-01,82.370003,85.820000,80.300003,85.300003,67.257172,46929900
2011-12-01,85.000000,88.680000,81.849998,83.320000,65.883858,48945600
2012-01-01,84.279999,85.080002,78.809998,82.269997,65.053596,51275200
2012-02-01,82.919998,87.199997,82.779999,86.059998,68.050461,44535200
2012-03-01,86.540001,91.779999,85.690002,90.800003,72.002907,44799200
2012-04-01,90.940002,92.099998,86.029999,88.180000,69.925293,43518200
2012-05-01,86.910004,88.000000,81.980003,86.389999,68.505852,59100800
2012-06-01,86.000000,95.110001,85.169998,95.000000,75.582687,49076200
2012-07-01,95.000000,97.760002,93.110001,96.180000,76.521523,34993500
2012-08-01,96.430000,99.279999,94.389999,97.870003,77.866089,31041300
2012-09-01,97.790001,103.510002,97.070000,100.160004,79.917458,31903500
2012-10-01,100.629997,104.430000,93.839996,98.430000,78.537094,69043500
2012-11-01,98.589996,104.500000,93.510002,103.919998,82.917542,62802000
2012-12-01,104.820000,105.970001,96.510002,98.730003,79.003494,64890300
2013-01-01,100.599998,103.529999,99.699997,102.339996,87.685493,42633600
2013-02-01,102.889999,104.349998,98.949997,101.290001,86.785843,41548000
2013-03-01,100.820000,107.059998,100.260002,106.110001,91.158325,43804300
2013-04-01,106.000000,109.750000,103.199997,108.430000,93.151413,40330300
2013-05-01,108.129997,115.769997,107.720001,109.629997,94.182335,40045500
2013-06-01,109.919998,112.589996,107.379997,110.570000,95.254967,34143100
2013-07-01,111.550003,119.389999,110.059998,117.419998,101.156174,30468900
2013-08-01,118.070000,120.199997,110.190002,111.870003,96.374901,31715100
2013-09-01,112.809998,119.470001,111.349998,115.169998,99.475868,33037000
2013-10-01,115.110001,118.989998,110.150002,118.000000,101.920227,42905200
2013-11-01,118.709999,126.120003,118.550003,125.430000,108.337746,31793400
2013-12-01,125.660004,125.690002,115.849998,119.019997,103.062149,43396100
2014-01-01,118.709999,119.300003,111.129997,112.360001,97.295090,54683000
2014-02-01,112.959999,117.470001,109.500000,116.800003,101.139786,41383300
2014-03-01,116.220001,117.070000,111.150002,111.680000,96.967674,54850200
2014-04-01,112.209999,116.610001,110.360001,115.680000,100.440735,51977100
2014-05-01,115.680000,116.910004,111.610001,116.019997,100.735947,40532600
