Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,19.469999,20.559999,18.770000,20.049999,14.795235,1399157800
2010-11-01,20.350000,21.809999,20.219999,21.160000,15.614323,1126956500
2010-12-01,21.459999,22.070000,20.650000,21.030001,15.639880,920821000
2011-01-01,21.010000,21.940001,20.270000,21.459999,15.959665,1449438700
2011-02-01,21.490000,22.209999,21.010000,21.469999,15.967105,1002697600
2011-03-01,21.610001,22.080000,19.709999,20.180000,15.134808,1330377500
2011-04-01,20.379999,23.190001,19.360001,23.150000,17.362276,1446913800
2011-05-01,23.020000,23.959999,22.110001,22.510000,16.882282,1583498800
2011-06-01,22.450001,22.480000,21.000000,22.160000,16.750294,1183643100
2011-07-01,22.209999,23.389999,22.080000,22.330000,16.878798,945313300
2011-08-01,22.570000,22.690001,19.160000,20.129999,15.215861,1552667100
2011-09-01,20.280001,22.980000,19.160000,21.340000,16.287952,1336431600
2011-10-01,21.180000,25.200001,20.400000,24.540001,18.730387,1523540600
2011-11-01,24.110001,25.500000,22.510000,24.910000,19.012791,1137108100
2011-12-01,24.870001,25.780001,23.049999,24.250000,18.673462,987696800
2012-01-01,24.620001,27.000000,24.389999,26.420000,20.344450,1119898300
2012-02-01,26.740000,27.500000,26.350000,26.879999,20.698658,782982800
2012-03-01,27.059999,28.450001,26.200001,28.120001,21.826544,726544100
2012-04-01,28.040001,28.780001,27.240000,28.400000,22.043877,747858300
2012-05-01,28.469999,29.270000,24.920000,25.840000,20.056829,872560200
2012-06-01,25.400000,27.750000,24.840000,26.650000,20.835489,789493000
2012-07-01,26.510000,26.860001,24.680000,25.700001,20.092756,767755500
2012-08-01,25.830000,26.900000,24.150000,24.830000,19.412573,753682300
2012-09-01,25.030001,25.100000,22.480000,22.660000,17.871223,933236400
2012-10-01,22.750000,23.170000,21.219999,21.629999,17.058889,1116041800
2012-11-01,21.760000,22.540001,19.230000,19.570000,15.434234,1158066100
2012-12-01,19.879999,21.309999,19.500000,20.620001,16.429913,805637100
2013-01-01,21.150000,23.059999,20.879999,21.040001,16.764572,1220335600
2013-02-01,21.190001,21.379999,20.100000,20.879999,16.637079,702460600
2013-03-01,20.790001,22.040001,20.660000,21.840000,17.589037,755792900
2013-04-01,21.670000,24.000000,20.750000,23.950001,19.288345,1251872500
2013-05-01,23.820000,24.709999,23.580000,24.280001,19.554111,740062700
2013-06-01,24.879999,25.980000,23.410000,24.230000,19.697662,870588100
2013-07-01,24.350000,24.430000,22.629999,23.340000,18.974144,1016381600
2013-08-01,23.410000,23.490000,21.889999,21.980000,17.868534,648993400
2013-09-01,22.209999,24.090000,21.969999,22.920000,18.815020,645551600
2013-10-01,22.940001,24.730000,22.480000,24.469999,20.087414,797993300
2013-11-01,24.510000,25.290001,23.500000,23.840000,19.570250,591599400
2013-12-01,24.000000,26.040001,23.400000,25.959999,21.510046,614535900
2014-01-01,25.780001,27.120001,24.400000,24.540001,20.333462,834053300
2014-02-01,24.500000,24.980000,23.500000,24.760000,20.515749,510845400
2014-03-01,24.549999,26.059999,24.299999,25.809999,21.589697,587134100
2014-04-01,25.799999,27.240000,25.639999,26.690001,22.325808,735615600
2014-05-01,26.510000,27.320000,25.740000,27.320000,22.852791,491940100
2014-06-01,27.309999,31.000000,27.120001,30.900000,26.069506,761349300
2014-07-01,30.990000,34.830002,30.440001,33.889999,28.592089,835570200
2014-08-01,33.750000,35.200001,32.389999,34.919998,29.461075,593322200
2014-09-01,34.759998,35.560001,33.630001,34.820000,29.572113,558097600
2014-10-01,34.610001,34.779999,29.650000,34.009998,28.884197,894696800
2014-11-01,33.810001,37.689999,33.000000,37.250000,31.635881,562628200
2014-12-01,37.209999,37.900002,35.330002,36.290001,31.022657,600051700
2015-01-01,36.669998,37.490002,33.000000,33.040001,28.244375,689892600
2015-02-01,33.060001,34.750000,32.610001,33.250000,28.423897,456578100
2015-03-01,33.290001,34.500000,29.309999,31.270000,26.923027,910690800
2015-04-01,31.129999,33.040001,30.450001,32.549999,28.025082,568144200
2015-05-01,32.630001,34.750000,31.930000,34.459999,29.669573,498672700
2015-06-01,34.369999,34.590000,30.150000,30.420000,26.380581,701953000
2015-07-01,30.490000,30.920000,27.620001,28.950001,25.105776,829691000
2015-08-01,29.000000,29.680000,24.870001,28.540001,24.750221,706404700
2015-09-01,27.910000,30.320000,27.660000,30.139999,26.354895,680884100
2015-10-01,30.209999,35.029999,29.459999,33.860001,29.607723,703298300
2015-11-01,33.730000,35.290001,31.930000,34.770000,30.403439,459871400
2015-12-01,35.000000,35.590000,33.820000,34.450001,30.335825,427664700
2016-01-01,33.880001,34.009998,29.209999,31.020000,27.315454,615464900
2016-02-01,30.719999,31.120001,27.680000,29.590000,26.056234,526508800
2016-03-01,29.930000,32.750000,29.750000,32.349998,28.737347,471958200
2016-04-01,32.270000,32.470001,30.100000,30.280001,26.898512,515836800
2016-05-01,30.450001,31.650000,29.500000,31.590000,28.062218,431523200
2016-06-01,31.620001,33.000000,30.440001,32.799999,29.388775,484891000
2016-07-01,32.639999,35.930000,32.380001,34.860001,31.234529,530528900
2016-08-01,34.820000,35.900002,33.990002,35.889999,32.157413,390892300
2016-09-01,35.990002,38.049999,35.060001,37.750000,34.080357,505600300
2016-10-01,37.689999,38.360001,34.709999,34.869999,31.480320,471649900
2016-11-01,34.900002,35.660000,33.419998,34.700001,31.326851,412448100
2016-12-01,34.860001,37.349998,33.560001,36.270000,32.992149,405906200
2017-01-01,36.610001,38.450001,36.189999,36.820000,33.492443,456335100
2017-02-01,36.820000,36.950001,34.840000,36.200001,32.928478,477551300
2017-03-01,35.849998,36.299999,34.660000,36.070000,33.044449,546151800
2017-04-01,36.189999,37.500000,35.209999,36.150002,33.117748,444122200
2017-05-01,36.110001,37.169998,35.020000,36.110001,33.081108,432927300
2017-06-01,36.119999,36.570000,33.340000,33.740002,31.139841,499455600
2017-07-01,33.509998,35.860001,33.230000,35.470001,32.736523,440860400
