Date,Open,High,Low,Close,Adj Close,Volume
2010-09-07,58.250000,59.000000,58.200001,58.639999,45.681999,2598500
2010-09-08,59.369999,59.419998,58.799999,59.209999,46.126049,3412700
2010-09-09,59.500000,59.509998,58.830002,58.939999,45.915714,2622900
2010-09-10,59.299999,59.790001,59.139999,59.540001,46.383121,2608600
2010-09-13,59.820000,60.230000,59.410000,60.049999,46.780426,3107800
2010-09-14,60.000000,61.209999,59.939999,61.040001,47.551674,4134800
2010-09-15,61.040001,61.270000,60.910000,61.189999,47.668518,3523100
2010-09-16,61.160000,61.330002,60.820000,61.240002,47.707462,2230600
2010-09-17,61.500000,61.500000,60.950001,61.290001,47.746422,3495800
2010-09-20,61.509998,61.779999,60.970001,61.279999,47.738644,3472500
2010-09-21,61.209999,61.529999,60.860001,61.270000,47.730850,3198500
2010-09-22,61.520000,62.450001,61.520000,62.330002,48.556614,4806500
2010-09-23,62.049999,62.820000,61.880001,62.500000,48.689045,3399200
2010-09-24,63.000000,64.309998,62.779999,64.050003,49.896530,4481600
2010-09-27,63.820000,64.139999,63.630001,63.730000,49.647243,4704400
2010-09-28,63.860001,65.110001,63.689999,65.000000,50.636600,5453500
2010-09-29,64.930000,65.220001,64.389999,64.669998,50.379520,3585200
2010-09-30,64.870003,65.000000,64.070000,64.489998,50.239296,4090300
2010-10-01,64.919998,65.250000,64.500000,65.050003,50.675556,4037200
2010-10-04,65.059998,65.239998,64.529999,64.559998,50.293835,4502900
2010-10-05,65.000000,65.000000,64.330002,64.660004,50.371754,5698600
2010-10-06,63.000000,65.459999,62.810001,65.410004,50.955997,11502200
2010-10-07,65.220001,65.269997,64.430000,65.260002,50.839149,5048000
2010-10-08,64.400002,64.949997,63.939999,64.290001,50.083485,5632000
2010-10-11,63.389999,64.489998,63.279999,64.320000,50.106876,2584800
2010-10-12,64.029999,64.089996,63.310001,63.340000,49.343418,4454400
2010-10-13,63.200001,63.959999,63.000000,63.360001,49.359001,5006500
2010-10-14,63.119999,63.860001,62.910000,63.180000,49.218777,4214500
2010-10-15,63.459999,63.770000,63.209999,63.700001,49.623867,4033400
2010-10-18,63.419998,63.810001,63.130001,63.209999,49.242138,2417000
2010-10-19,62.660000,63.139999,61.900002,62.209999,48.463127,3970600
2010-10-20,62.349998,63.070000,62.250000,62.610001,48.774727,2785800
2010-10-21,62.560001,63.889999,62.540001,63.599998,49.545975,4190700
2010-10-22,63.840000,64.099998,63.220001,64.029999,49.880947,2406400
2010-10-25,64.120003,64.769997,64.010002,64.110001,49.943268,2764000
2010-10-26,63.520000,64.190002,63.439999,63.680000,49.608280,2826200
2010-10-27,63.380001,63.380001,62.509998,62.980000,49.221436,3378700
2010-10-28,63.060001,63.250000,62.500000,62.799999,49.080738,2385400
2010-10-29,62.610001,62.900002,62.520000,62.770000,49.057301,2350900
2010-11-01,63.049999,63.619999,62.779999,63.279999,49.455883,2790600
2010-11-02,63.549999,64.180000,63.349998,63.720001,49.799770,2988400
2010-11-03,63.529999,63.860001,62.709999,63.160000,49.362103,4080900
2010-11-04,63.889999,65.629997,63.889999,65.480003,51.175285,5801500
2010-11-05,65.529999,66.040001,65.230003,65.400002,51.112762,3039900
2010-11-08,64.860001,64.870003,64.239998,64.809998,50.651646,2613500
2010-11-09,64.699997,64.779999,63.959999,64.220001,50.190536,2600000
2010-11-10,64.019997,64.500000,63.939999,64.449997,50.370296,2680800
2010-11-11,64.099998,65.419998,63.910000,65.349998,51.073681,3798400
2010-11-12,64.879997,65.699997,64.650002,65.199997,50.956440,3703200
2010-11-15,65.449997,65.989998,65.400002,65.480003,51.175285,2949000
2010-11-16,65.190002,66.400002,64.570000,65.739998,51.378471,6198600
2010-11-17,66.019997,67.129997,66.019997,67.019997,52.378853,5484600
2010-11-18,67.250000,67.489998,66.320000,66.410004,51.902107,3671100
2010-11-19,66.260002,66.720001,66.120003,66.559998,52.019341,2710300
2010-11-22,66.269997,67.339996,66.180000,67.260002,52.566418,2827200
2010-11-23,66.970001,67.070000,66.269997,66.900002,52.285076,2985800
2010-11-24,67.169998,68.000000,67.169998,67.540001,52.785255,2688000
2010-11-26,67.110001,67.470001,67.029999,67.220001,52.535160,952900
2010-11-29,66.900002,67.000000,66.330002,66.970001,52.339779,2350200
2010-11-30,66.589996,67.919998,66.510002,67.610001,52.839962,3305000
2010-12-01,68.209999,68.800003,68.010002,68.309998,53.387028,3038100
2010-12-02,68.519997,69.110001,68.129997,69.010002,53.934124,3288800
2010-12-03,68.870003,69.260002,68.239998,68.389999,53.449558,3092300
2010-12-06,68.330002,69.410004,68.330002,69.190002,54.074802,3366000
2010-12-07,69.699997,70.059998,69.120003,69.639999,54.426491,5115400
2010-12-08,69.379997,69.709999,68.529999,69.250000,54.121689,3691400
2010-12-09,69.699997,71.129997,69.279999,71.019997,55.505005,6777000
2010-12-10,70.750000,71.279999,70.620003,71.250000,55.684761,3555900
2010-12-13,71.129997,71.489998,70.529999,70.739998,55.286179,5797100
2010-12-14,70.699997,71.540001,70.599998,71.209999,55.653503,2682500
2010-12-15,71.010002,71.449997,70.889999,71.050003,55.528465,3522600
2010-12-16,71.050003,72.230003,71.010002,72.120003,56.364716,3449700
2010-12-17,71.930000,72.440002,71.699997,71.839996,56.145874,6457100
2010-12-20,71.889999,72.550003,71.760002,72.309998,56.513184,2631800
2010-12-21,72.570000,72.769997,72.260002,72.320000,56.521034,2200500
2010-12-22,72.330002,72.540001,72.000000,72.269997,56.481934,1947900
2010-12-23,72.160004,72.449997,71.940002,72.239998,56.458508,1379400
2010-12-27,71.879997,72.269997,71.720001,72.080002,56.333443,1155800
2010-12-28,72.230003,72.870003,72.139999,72.709999,56.825821,1974500
2010-12-29,72.889999,73.160004,72.570000,72.699997,56.817997,1526400
2010-12-30,72.709999,72.970001,72.610001,72.849998,56.935219,1424800
2010-12-31,72.690002,72.989998,72.190002,72.209999,56.435051,1304200
2011-01-03,72.750000,73.449997,72.389999,72.470001,56.638233,3405500
2011-01-04,72.529999,72.529999,71.760002,72.330002,56.528828,3966700
2011-01-05,71.989998,72.099998,70.900002,70.989998,55.481567,4270100
2011-01-06,70.360001,71.250000,70.010002,70.650002,55.215851,3280400
2011-01-07,70.949997,71.190002,70.449997,70.650002,55.215851,2342700
2011-01-10,70.279999,70.599998,70.019997,70.480003,55.082985,2073200
2011-01-11,70.550003,71.250000,70.320000,71.070000,55.544094,2065500
2011-01-12,71.199997,71.680000,71.110001,71.489998,55.872337,1629900
2011-01-13,71.320000,71.750000,71.250000,71.599998,55.958290,1923100
2011-01-14,71.349998,72.519997,71.209999,72.510002,56.669487,2454700
2011-01-18,72.540001,72.910004,72.279999,72.599998,56.739838,2416600
2011-01-19,72.379997,72.489998,71.860001,72.070000,56.325634,2310500
2011-01-20,71.790001,72.930000,71.790001,72.360001,56.552273,2306800
